"","TIME","AUT","BEL","CZE","DEU","DNK","ESP","EST","EU27","FRA","GBR","GRC","HUN","IRL","ITA","LTU","LUX","LVA","NLD","POL","PRT","SVK","SVN","SWE"
"775","2011-07",7.95198129008676,4.32995816063194,-1.92673388870717,15.5364655137993,2.26511859819076,2.22392547624363,-0.23044314287725,6.4553008791609,5.51806585510906,1.54851444591009,4.34124933156307,-1.92801834562556,-34.3686574479622,-3.91261152946494,-10.4388721261476,27.0146750468048,19.4304203593264,0.0731269791422449,4.36054649152486,2.21246397567218,1.02095965296793,-3.7345108549401,4.61484998668426
"776","2011-08",4.55346218911912,5.72207494851498,10.7139333888941,-2.42136957807613,-3.67764853381626,0.417346171195097,14.6806688127867,0.814543262078567,0.135151455897482,-0.24704520726265,6.97619579439288,10.5532481633157,-5.55945896069643,0.819117344269556,7.01649974743044,-4.47397633967129,-2.37926465958098,-6.31519428416644,-8.82263852220009,-6.39756382063739,1.0078075028758,3.80905793922182,1.06524848292404
"777","2011-09",3.44729832141637,-0.0724294020908401,-7.21691498209134,1.1415693276794,-3.65174633017572,0.939712160618834,0.811336445099643,0.935105328032461,-0.924107194137168,-0.276641025793326,-3.29498498451491,-6.51209032056446,-3.21577801516079,-1.01377968603987,3.1426399293971,-5.91283799821467,11.7835680835175,2.66721207874807,10.3974823074449,-1.12733709512507,1.66948284152444,-1.49543729398083,-2.10426463760223
"778","2011-10",-5.13797347792269,0.557876745320574,8.0328362404609,-2.43443591426168,1.04323026118283,-5.80468371511527,1.66744180886944,-2.49446801451495,0.830700559404073,4.74845625078222,-36.5453052851907,1.5273173490683,1.21100779474987,-4.20301767006454,-5.56172074242183,-1.89693603643467,2.76083093616616,-0.970375873803689,-2.07172306797414,-7.89181193791915,1.95288819686553,-3.15152839266154,-2.32119519553019
"779","2011-11",9.5782692241882,0.968880124958922,-1.077710228626,-0.855385762809271,6.68498848696427,2.93121866290565,11.4033074197969,0.508212230062377,5.44331888374018,-3.23187025929033,56.2145608602532,16.3745579177814,4.8731051695947,-0.462995868764779,-2.63035048731141,3.89662386455284,15.5089428619197,1.42968800067723,-1.25326005447033,-3.20354049939588,3.17044973577332,-0.938689152350917,0.955688572787144
"780","2011-12",-1.64903010598772,77.1789373190828,0.825188295040691,6.84043073451333,1.86590545150736,4.72052726364896,-2.10367149714111,1.77518683273746,-9.33884387642716,-0.809833625790449,0.868850432982908,-24.5121054444156,-0.67423407210066,-1.76790890231228,6.54636781852624,0.0364778632061398,-6.51658411313991,3.06715585161226,3.5813682274312,21.4968567121375,6.4668132699977,3.91157205080758,-4.94844567366258
"781","2012-01",-4.0570040972464,-53.7646703568857,0.255735343989906,-5.53265727620896,-8.3384594354453,-2.61337965520652,-4.30998342770075,-4.77684951072703,-4.56885456885456,1.6283030205406,-18.9907604876006,90.1744692483594,10.1203504582034,-5.49921883776302,-9.16970629165425,3.54233377674757,-12.913477147533,12.1164250099238,-14.7816726976808,-38.6277411779396,-2.38859889559679,-1.01387758506529,4.56976647788217
"782","2012-02",-5.93674487148346,-1.1245364053074,0.673283086114804,-2.21533716260331,29.1999105212139,-6.7043860671362,-2.98479004341279,-5.00115603283651,0.591123070815031,-2.07908139345034,-34.2463742112376,-26.302074422008,-2.89904347120359,-5.64311190465222,-7.26218337366427,-2.28965600775429,-19.6414013470983,-13.2852284376406,2.55444869211906,-9.75430220904044,0.118637042643068,-11.7863804730056,-4.48279945187714
"783","2012-03",6.82688853396462,18.0565571413032,-2.71920082829905,7.09212005779572,-28.3719051191782,5.25602405600775,1.46694472242122,4.03254691893389,0.66345485186601,4.40562880280602,9.34764353071348,-7.44041186254765,0.153918061637362,-9.2354502716497,3.66692447488553,-0.981410807319354,12.9316625503606,9.76881880440568,10.7797643015801,5.68058023017698,-3.4356973101477,8.26942958072095,6.93218984465084
"784","2012-04",-7.89820926839625,-8.77479184696449,5.89830913192711,-5.30259991106297,4.73773265651438,-13.5796764809421,-0.635638225805776,-2.2012243257977,-0.383997809283178,-0.241310781194128,-11.2447092581691,3.07990532824928,4.57770970655986,13.4633946142996,-2.90370187778117,0.804696177148501,4.41607612638638,-8.55774562245581,-5.42946591086384,9.93208934653886,-0.867035347153625,-6.68382541725622,-11.4439852923846
"785","2012-05",2.99065756470127,-9.54376368677328,-8.3090266099747,-0.92946179240707,7.77752134779598,6.76542848104097,-0.120909427069684,-0.84090085090201,0.870293200717242,1.74657907133731,3.08884015721287,-1.2064284713993,-2.21423721895677,-0.603738888348795,3.13669292254828,-6.72770979151567,2.6415059331819,7.59010347635786,-0.968825858275281,8.590455180271,-5.86633864138525,0.945785961637125,1.27210620187427
"786","2012-06",-4.11780079602756,16.9681672307436,13.2862908249315,-1.65796787211308,-10.5281941470378,-3.04935566775609,17.4364539617821,0.650801044505221,-2.62303814089462,-0.676306343454204,0.792549026231662,2.27341226870248,-1.60868789369839,-5.71245262455761,-3.56659859892808,10.331248709214,-1.29995297453569,53.5605536778423,-4.02804266234919,-9.88756238040333,-2.07974630103052,3.26408858886742,3.5843009234584
"787","2012-07",-1.12262849805224,1.29324656423282,-25.7355669164398,-2.44659909086345,41.1886717191863,-7.34889625472101,-5.58716990108152,-6.80938192361412,-5.31742346662936,2.81627275421101,1.57775025585645,-5.58754926071256,-25.1614272494312,-3.22494723852907,3.13672531437613,-6.45820069926717,-6.25279088450008,-54.9893242429127,-3.54996920497786,1.04312497135014,9.82849173552226,-3.73145201827254,-1.41918496226552
"788","2012-08",2.65705097074145,-12.1530476937697,15.3127924543686,2.23288299414419,-21.3187930839643,28.9932907266001,-9.06118275170878,4.95959519405855,4.82940232031655,-5.8546490368207,5.93543907214474,-3.28516203056662,18.6117489118487,3.15337701212251,2.07543045973214,1.6969885159536,9.38164460332903,10.2456148048238,0.398723745139017,-0.546843474596538,6.4849793597708,-5.93381909886472,-2.9705556399322
"789","2012-09",-3.31181465749271,7.12252461726975,4.33638620047174,2.46005407862966,8.34470377019749,-33.5788026722089,5.68716596789008,-1.84715732471043,-4.21857377217267,9.98151567372285,-4.31071996773643,-0.986164557006587,3.89438281296156,-0.882218523535601,2.00424566487501,4.43720030428068,-8.90296339586398,-8.45318857826412,-1.53751324981796,5.19699888421138,42.4632128161658,-1.41241118930121,1.69591498701238
"790","2012-10",-1.67519680238959,1.05055892096838,1.56562855939707,-5.85550383096627,-1.24610591900311,0.733274196184545,-9.26924738751788,-3.90356462660984,-0.411467567657982,0.558687814985269,10.6263850032465,-0.795816914376739,1.83629855693549,-0.305883726295184,-1.70255863881874,-4.57290753213799,8.54857003016406,-29.7018093892559,-2.6895531038143,-2.37437757717942,-51.8755073182615,-0.0894353890445267,-3.06433609886885
"791","2012-11",-2.406760101835,-0.351446171376073,-9.63370700005884,2.39574841361906,2.63776092355192,12.0381529292196,2.87382966057556,0.48204776531149,-2.24319785018475,-0.31544546479922,-15.8308590458245,12.1056121305476,6.48281499732805,-3.93240626813725,-5.30719617407726,1.91828619167604,-5.70671620053758,35.7839607493958,5.38569111511427,-4.33955819359417,26.3707823358066,2.65850642316051,3.39382833915931
"792","2012-12",-6.36083061677128,-5.46033588420433,1.70684764829419,-3.00275542836126,-18.754904525242,4.79128078527505,4.89856413261768,-2.37175060944872,8.178763117565,-6.26691416005913,21.9163529512723,19.1923326892234,26.2967162654912,-0.0836707380068307,4.42687203611674,19.7300895656577,0.254566799470412,46.1710844583741,-10.1913029582333,-4.91129865424495,-7.22252825113056,-1.79222434784524,7.53108461814467
"793","2013-01",26.026114473461,6.13842756482408,-2.10250589863014,-4.90289095160568,15.2205408886027,4.94509562369419,-2.93681994940779,-1.46068385745273,-11.910781897187,7.60103149367413,-13.0105216127786,-16.8954023915586,-42.0571982977261,-5.86525911207778,-3.72154024634758,-23.6997903203521,-9.07749666425063,-39.0210771918059,16.499468468778,2.87509980980045,3.24696455426783,3.44255198905719,-13.3802481742456
"794","2013-02",-18.4133877727284,-0.104129763264051,-7.11102114880808,3.92899185257084,-1.43904994760741,-0.177053809941787,6.36947913172132,1.51254153603346,6.66003187584288,0.705293463732806,13.6879784484855,-1.8005862962742,26.3168818728211,0.0982297243402705,-5.32102544012211,4.58020630454374,6.45019891088504,13.693746823124,3.39833431388683,1.61044978621406,-1.33364392160197,1.49223183219887,3.69963181671473
"795","2013-03",-0.407242066302248,3.71577484238798,7.10469661680693,3.2843829137246,4.94719682472181,5.41545894724991,-5.0232071599553,3.5786279764774,-4.6315704066316,-0.18265614224955,-10.7249376895784,9.67057867422961,7.41736788567102,3.60819018289593,9.00662563300505,0.437544336957329,-2.71431782050346,4.48261344006285,-6.77348762509804,-6.15233103736088,7.67105320341901,1.41488967374406,-2.78094520481427
"796","2013-04",5.88184772008007,-4.97684412838954,-2.51425510303279,-0.117895589357989,-1.41149456338218,-4.93187449076161,2.14874097728,-2.36583804166413,1.51579604106403,1.65276497349669,5.58011054356214,-5.37333072947712,-9.65432562692779,0.353645383012642,-10.9525809089402,-2.18803624237116,-5.98820024190882,-2.23523684592155,5.06959489231069,6.13382844223018,0.0150697633689714,7.46689762674327,5.43596394317764
"797","2013-05",-0.863339747034657,-1.60964848656256,5.29069755610015,-4.72131308411722,-2.00712426359776,0.535413865018072,-0.48827968162479,-0.345437162583724,-1.0622546897043,1.51801004925484,-14.27926634562,4.68337362603952,7.52297238871566,4.08712973457442,2.85067509254135,-4.01837082304378,9.71402771782934,-8.90453593587115,-3.17594150184837,5.66787353831446,-2.54461877424056,-2.04199389909511,0.931909112800712
"798","2013-06",0.226542037622549,1.45939975854835,-0.102988713722237,7.44660739453253,8.3047885354771,2.83634522168274,1.46301160762165,3.78876121378212,3.54286521017893,3.3196249130832,10.4734361655948,-2.20160197993632,-27.1308128253913,1.09599999811387,18.8282459477821,5.08341900084786,10.8166666354594,7.74347612938472,11.2621725535466,16.9127276561284,3.2743493473663,13.9680100754771,-2.92362522732443
"799","2013-07",5.22481620271182,-2.98010779199828,11.2870698557211,-4.6048313423697,-1.97508552249402,2.81500634395092,0.417300875397762,-0.858662235457801,1.62117204330398,-0.831234322450936,8.04635479945019,0.191641551144051,37.5294898321501,-4.13881258483527,-11.269606565432,-8.2492071198446,-8.55984658482358,-3.19165557637689,-1.11465262592745,-2.32747351191021,-6.49953921156994,-14.4456530419934,2.80322421840277
"800","2013-08",-4.972245470967,-2.30161616474654,-15.6424095618036,2.80228331663083,-0.855995259103188,-2.37711683912168,3.74918004494518,0.744620197771801,-2.35875005031464,-3.71477197135495,-9.19286028462595,7.18025584397307,5.92001622067241,3.12038919107931,-2.96223237334058,1.9731060383133,-4.32798523618475,3.35637137335836,-5.00734596265994,-0.0979504475267361,-9.73187687961802,4.05343869952181,3.82995798465644
"801","2013-09",-4.24167085835181,4.36259157121565,14.8250625814071,-0.496145695793042,2.75619313276218,-2.2839962040558,-5.30480700442262,0.425594486074874,2.3360312203702,6.21180096385037,7.36940335921041,3.44276083597062,1.72430179290105,-2.11193121315582,4.51921359482557,4.38812027323101,24.9118174479522,-1.74222220135133,1.53027057191907,0.767607833401286,25.1301457587859,1.35742843872377,0.33025663923184
"802","2013-10",8.14341180841251,-2.07927720162268,-2.96783866300378,1.44773286304875,1.05351602895553,8.06041675439166,3.09832865173958,2.75377106537718,1.70195909927088,-3.99457906700785,3.95539131070261,-1.607861621689,8.2225199689871,-0.699802446716711,5.76346249547217,5.69248897543085,2.37238182343909,4.15876239594209,4.88847422247814,6.64151523644213,0.78816727204828,0.335249658842772,-1.70345185369926
