Timestamp,Route,Link,Direction,STT,AccSTT,TCS1,TCS2
20151120-1558, 9, 6, 1,  41, 391,224,506
20151120-1558, 9, 6, 2,  40, 388,506,224
20151120-1558, 9, 7, 1,  33, 424,506,41
20151120-1558, 9, 7, 2,  32, 420,41,506
20151120-1558, 9, 8, 1,  26, 450,41,655
20151120-1558, 9, 8, 2,  29, 449,655,41
20151120-1558, 9, 9, 1,  43, 493,655,443
20151120-1558, 9, 9, 2,  45, 494,443,655
20151120-1558, 9,10, 1,  32, 525,443,73
20151120-1558, 9,10, 2,  32, 526,73,443
20151120-1558, 9,11, 1,  42, 567,73,72
20151120-1558, 9,11, 2,  49, 575,72,73
20151120-1558, 9,12, 1,  32, 599,72,194
20151120-1558, 9,12, 2,  44, 619,194,72
20151120-1558, 9,13, 1,  30, 629,194,282
20151120-1558, 9,13, 2,  30, 649,282,194
20151120-1558, 9,14, 1,  27, 656,282,2
20151120-1558, 9,14, 2,  29, 678,2,282
20151120-1558, 9,15, 1,  21, 677,2,203
20151120-1558, 9,15, 2,  28, 706,203,2
20151120-1558, 9,16, 1,  17, 694,203,3
20151120-1558, 9,16, 2,  15, 721,3,203
20151120-1558,10, 1, 1,  37,  37,124,410
20151120-1558,10, 1, 2,  49,  49,410,124
20151120-1558,10, 2, 1,  69, 106,410,189
20151120-1558,10, 2, 2,  71, 120,189,410
20151120-1558,10, 3, 1,   4, 110,189,738
20151120-1558,10, 3, 2,  48, 168,738,189
20151120-1558,10, 4, 1,  80, 190,738,372
20151120-1558,10, 4, 2,  79, 247,372,738
20151120-1558,10, 5, 1,  53, 243,372,42
20151120-1558,10, 5, 2,  16, 263,42,372
20151120-1558,10, 6, 1,  54, 297,42,172
20151120-1558,10, 6, 2,  54, 317,172,42
20151120-1558,10, 7, 1, 108, 405,172,370
20151120-1558,10, 7, 2, 141, 458,370,172
20151120-1558,11, 1, 1,  59,  59,130,5
20151120-1558,11, 1, 2,  60,  60,5,130
20151120-1558,11, 2, 1,  18,  77,5,151
20151120-1558,11, 2, 2,  14,  74,151,5
20151120-1558,11, 3, 1, 189, 266,151,127
20151120-1558,11, 3, 2,  54, 128,127,151
20151120-1558,11, 4, 1,  18, 284,127,149
20151120-1558,11, 4, 2,   7, 135,149,127
20151120-1558,11, 5, 1,  72, 356,149,432
20151120-1558,11, 5, 2,  85, 220,432,149
20151120-1558,12, 1, 1,  10,  10,832,9
20151120-1558,12, 1, 2,   7,   7,9,832
20151120-1558,12, 2, 1,  73,  83,9,178
20151120-1558,12, 2, 2,  73,  80,178,9
20151120-1558,12, 3, 1,  52, 135,178,148
20151120-1558,12, 3, 2,  53, 133,148,178
20151120-1558,13, 1, 1,  83,  83,2,3
20151120-1558,13, 1, 2,  57,  57,3,2
20151120-1558,13, 2, 1, 116, 199,3,513
20151120-1558,13, 2, 2,  19,  76,513,3
20151120-1558,13, 3, 1, 121, 320,513,354
20151120-1558,13, 3, 2,  30, 106,354,513
20151120-1558,13, 4, 1, 442, 762,354,355
20151120-1558,13, 4, 2,  30, 136,355,354
20151120-1558,13, 5, 1,  52, 814,355,439
20151120-1558,13, 5, 2,  30, 166,439,355
20151120-1558,13, 6, 1,  41, 855,439,145
20151120-1558,13, 6, 2,  25, 191,145,439
20151120-1558,13, 7, 1, 101, 956,145,143
20151120-1558,13, 7, 2,  16, 207,143,145
20151120-1558,13, 8, 1, 154,1110,143,144
20151120-1558,13, 8, 2,  32, 239,144,143
20151120-1558,14, 1, 1,  22,  22,456,110
20151120-1558,14, 1, 2,  22,  22,110,456
20151120-1558,14, 2, 1, 123, 145,110,109
20151120-1558,14, 2, 2, 123, 145,109,110
20151120-1558,14, 3, 1,  20, 165,109,331
20151120-1558,14, 3, 2,  19, 164,331,109
20151120-1558,14, 4, 1,  11, 176,331,586
20151120-1558,14, 4, 2,  59, 223,586,331
20151120-1558,14, 5, 1,  31, 207,586,107
20151120-1558,14, 5, 2,  25, 248,107,586
20151120-1558,14, 6, 1,  41, 248,107,701
20151120-1558,14, 6, 2,  92, 340,701,107
20151120-1558,14, 7, 1,  37, 285,701,108
20151120-1558,14, 7, 2,  45, 385,108,701
20151120-1558,14, 8, 1,  46, 331,108,73
20151120-1558,14, 8, 2,  47, 432,73,108
20151120-1558,14, 9, 1,  47, 378,73,72
20151120-1558,14, 9, 2,  47, 479,72,73
20151120-1558,14,10, 1,  26, 404,72,132
20151120-1558,14,10, 2,  26, 505,132,72
20151120-1558,15, 1, 1,  67,  67,49,50
20151120-1558,15, 1, 2,  10,  10,50,49
20151120-1558,15, 2, 1,  52, 119,50,272
20151120-1558,15, 2, 2,  16,  26,272,50
20151120-1558,15, 3, 1, 144, 263,272,229
20151120-1558,15, 3, 2,  10,  36,229,272
20151120-1558,15, 4, 1, 231, 494,229,196
20151120-1558,15, 4, 2,  16,  52,196,229
20151120-1558,16, 1, 1,  31,  31,197,196
20151120-1558,16, 1, 2,  13,  13,196,197
20151120-1558,16, 2, 1,  24,  55,196,232
20151120-1558,16, 2, 2,  22,  35,232,196
20151120-1558,16, 3, 1,  23,  78,232,226
20151120-1558,16, 3, 2,  22,  57,226,232
20151120-1558,16, 4, 1,  34, 112,226,272
20151120-1558,16, 4, 2,  33,  90,272,226
20151120-1558,16, 5, 1,  12, 124,272,50
20151120-1558,16, 5, 2,  11, 101,50,272
20151120-1558,16, 6, 1,  17, 141,50,49
20151120-1558,16, 6, 2,  15, 116,49,50
20151120-1558,17, 1, 1, 106, 106,229,301
20151120-1558,17, 1, 2, 105, 105,301,229
20151120-1558,17, 2, 1,  23, 129,301,163
20151120-1558,17, 2, 2,  23, 128,163,301
20151120-1558,17, 3, 1,  23, 152,163,70
20151120-1558,17, 3, 2,  16, 144,70,163
20151120-1558,17, 4, 1,  71, 223,70,157
20151120-1558,17, 4, 2,  66, 210,157,70
20151120-1558,17, 5, 1,  48, 271,157,295
20151120-1558,17, 5, 2,  56, 266,295,157
20151120-1558,17, 6, 1,  10, 281,295,158
20151120-1558,17, 6, 2,  10, 276,158,295
20151120-1558,17, 7, 1,  13, 294,158,623
20151120-1558,17, 7, 2,  13, 289,623,158
20151120-1558,17, 8, 1,  15, 309,623,156
20151120-1558,17, 8, 2,  15, 304,156,623
20151120-1558,17, 9, 1,  65, 374,156,155
20151120-1558,17, 9, 2,  36, 340,155,156
20151120-1558,17,10, 1,  97, 471,155,187
20151120-1558,17,10, 2,  84, 424,187,155
20151120-1558,17,11, 1,  40, 511,187,599
20151120-1558,17,11, 2,  48, 472,599,187
20151120-1558,17,12, 1,  79, 590,599,311
20151120-1558,17,12, 2, 193, 665,311,599
20151120-1558,18, 1, 1,  46,  46,727,797
20151120-1558,18, 1, 2, 112, 112,797,727
20151120-1558,18, 2, 1, 145, 191,797,456
20151120-1558,18, 2, 2, 139, 251,456,797
20151120-1558,18, 3, 1,  40, 231,456,110
20151120-1558,18, 3, 2,  25, 276,110,456
20151120-1558,18, 4, 1,  98, 329,110,109
20151120-1558,18, 4, 2, 110, 386,109,110
20151120-1558,18, 5, 1,  20, 349,109,331
20151120-1558,18, 5, 2,  19, 405,331,109
20151120-1558,18, 6, 1,  15, 364,331,586
20151120-1558,18, 6, 2,  59, 464,586,331
20151120-1558,18, 7, 1,  26, 390,586,107
20151120-1558,18, 7, 2,  45, 509,107,586
20151120-1558,18, 8, 1,  32, 422,107,701
20151120-1558,18, 8, 2,  46, 555,701,107
20151120-1558,18, 9, 1,  37, 459,701,108
20151120-1558,18, 9, 2,  36, 591,108,701
20151120-1558,18,10, 1,   7, 466,108,594
20151120-1558,18,10, 2,  20, 611,594,108
20151120-1558,18,11, 1,  29, 495,594,73
20151120-1558,18,11, 2,  29, 640,73,594
20151120-1558,18,12, 1,  62, 557,73,72
20151120-1558,18,12, 2,  61, 701,72,73
20151120-1558,18,13, 1,  26, 583,72,132
20151120-1558,18,13, 2,  26, 727,132,72
20151120-1558,18,14, 1,  23, 606,132,194
20151120-1558,18,14, 2,  15, 742,194,132
20151120-1558,18,15, 1,  37, 643,194,282
20151120-1558,18,15, 2,  44, 786,282,194
20151120-1558,18,16, 1,  35, 678,282,2
20151120-1558,18,16, 2,  26, 812,2,282
20151120-1558,18,17, 1,  58, 736,2,3
20151120-1558,18,17, 2,  62, 874,3,2
20151120-1558,18,18, 1,  20, 756,3,513
20151120-1558,18,18, 2,  22, 896,513,3
20151120-1558,18,19, 1,  18, 774,513,354
20151120-1558,18,19, 2,  17, 913,354,513
20151120-1558,18,20, 1,  91, 865,354,355
20151120-1558,18,20, 2,  11, 924,355,354
20151120-1558,18,21, 1,  48, 913,355,184
20151120-1558,18,21, 2,  47, 971,184,355
20151120-1558,19, 1, 1,  53,  53,420,190
20151120-1558,19, 1, 2,  50,  50,190,420
20151120-1558,19, 2, 1,  33,  86,190,761
20151120-1558,19, 2, 2,   8,  58,761,190
20151120-1558,19, 3, 1,  19, 105,761,152
20151120-1558,19, 3, 2,  13,  71,152,761
20151120-1558,19, 4, 1,  27, 132,152,37
20151120-1558,19, 4, 2,  27,  98,37,152
20151120-1558,19, 5, 1,  23, 155,37,193
20151120-1558,19, 5, 2,  20, 118,193,37
20151120-1558,19, 6, 1,  45, 200,193,26
20151120-1558,19, 6, 2,  25, 143,26,193
20151120-1558,19, 7, 1,  76, 276,26,197
20151120-1558,19, 7, 2,  54, 197,197,26
20151120-1558,20, 1, 1,  43,  43,70,163
20151120-1558,20, 1, 2,  43,  43,163,70
20151120-1558,20, 2, 1,  21,  64,163,801
20151120-1558,20, 2, 2,  21,  64,801,163
20151120-1558,20, 3, 1,   6,  70,801,301
20151120-1558,20, 3, 2,   6,  70,301,801
20151120-1558,20, 4, 1,  49, 119,301,39
20151120-1558,20, 4, 2,  49, 119,39,301
20151120-1558,20, 5, 1,  68, 187,39,269
20151120-1558,20, 5, 2,  13, 132,269,39
20151120-1558,20, 6, 1,  51, 238,269,146
20151120-1558,20, 6, 2,  36, 168,146,269
20151120-1558,20, 7, 1, 161, 399,146,288
20151120-1558,20, 7, 2,  17, 185,288,146
20151120-1558,20, 8, 1,  33, 432,288,232
20151120-1558,20, 8, 2,  32, 217,232,288
20151120-1558,20, 9, 1, 189, 621,232,196
20151120-1558,20, 9, 2,  26, 243,196,232
20151120-1558,20,10, 1,   7, 628,196,197
20151120-1558,20,10, 2,   6, 249,197,196
20151120-1558,20,11, 1,  47, 675,197,200
20151120-1558,20,11, 2,  46, 295,200,197
20151120-1558,20,12, 1,  58, 733,200,201
20151120-1558,20,12, 2,   6, 301,201,200
20151120-1558,20,13, 1,  42, 775,201,60
20151120-1558,20,13, 2,  42, 343,60,201
20151120-1558,20,14, 1,  22, 797,60,58
20151120-1558,20,14, 2,  21, 364,58,60
20151120-1558,20,15, 1,  42, 839,58,61
20151120-1558,20,15, 2,  27, 391,61,58
20151120-1558,20,16, 1,  27, 866,61,55
20151120-1558,20,16, 2,  12, 403,55,61
20151120-1558,20,17, 1,  40, 906,55,67
20151120-1558,20,17, 2,  11, 414,67,55
20151120-1558,20,18, 1,  35, 941,67,63
20151120-1558,20,18, 2,  19, 433,63,67
20151120-1558,20,19, 1,  49, 990,63,750
20151120-1558,20,19, 2,  45, 478,750,63
20151120-1558,20,20, 1,  12,1002,750,66
20151120-1558,20,20, 2,  11, 489,66,750
20151120-1558,20,21, 1,  50,1052,66,65
20151120-1558,20,21, 2,  50, 539,65,66
20151120-1558,20,22, 1,  31,1083,65,64
20151120-1558,20,22, 2,  26, 565,64,65
20151120-1558,20,23, 1,  88,1171,64,691
20151120-1558,20,23, 2,  23, 588,691,64
20151120-1558,20,24, 1,  83,1254,691,179
20151120-1558,20,24, 2,  53, 641,179,691
20151120-1558,20,25, 1,  53,1307,179,180
20151120-1558,20,25, 2,  53, 694,180,179
20151120-1558,20,26, 1,  42,1349,180,181
20151120-1558,20,26, 2,  26, 720,181,180
20151120-1558,20,27, 1,  45,1394,181,508
20151120-1558,20,27, 2,  32, 752,508,181
20151120-1558,20,28, 1,  46,1440,508,4029
20151120-1558,20,28, 2,  45, 797,4029,508
20151120-1558,20,29, 1,  14,1454,4029,4030
20151120-1558,20,29, 2,  13, 810,4030,4029
20151120-1558,20,30, 1, 199,1653,4030,4039
20151120-1558,20,30, 2, 198,1008,4039,4030
20151120-1558,20,31, 1,  72,1725,4039,4035
20151120-1558,20,31, 2,  72,1080,4035,4039
20151120-1558,21, 1, 1,  20,  20,70,163
20151120-1558,21, 1, 2,  19,  19,163,70
20151120-1558,21, 2, 1,  37,  57,163,39
20151120-1558,21, 2, 2,  37,  56,39,163
20151120-1558,21, 3, 1,  44, 101,39,146
20151120-1558,21, 3, 2,  25,  81,146,39
20151120-1558,21, 4, 1,  24, 125,146,439
20151120-1558,21, 4, 2,  13,  94,439,146
20151120-1558,21, 5, 1,  19, 144,439,188
20151120-1558,21, 5, 2,  18, 112,188,439
20151120-1558,21, 6, 1,  20, 164,188,185
20151120-1558,21, 6, 2,  14, 126,185,188
20151120-1558,21, 7, 1,  12, 176,185,232
20151120-1558,21, 7, 2,  11, 137,232,185
20151120-1558,21, 8, 1,  20, 196,232,196
20151120-1558,21, 8, 2,  12, 149,196,232
20151120-1558,21, 9, 1,   6, 202,196,197
20151120-1558,21, 9, 2,   5, 154,197,196
20151120-1558,21,10, 1,  30, 232,197,200
20151120-1558,21,10, 2,  29, 183,200,197
20151120-1558,21,11, 1,  64, 296,200,201
20151120-1558,21,11, 2,   5, 188,201,200
20151120-1558,21,12, 1,  91, 387,201,140
20151120-1558,21,12, 2,   9, 197,140,201
20151120-1558,21,13, 1,  23, 410,140,416
20151120-1558,21,13, 2,  19, 216,416,140
20151120-1558,21,14, 1,  45, 455,416,121
20151120-1558,21,14, 2,  45, 261,121,416
20151120-1558,21,15, 1,  19, 474,121,128
20151120-1558,21,15, 2,  15, 276,128,121
20151120-1558,21,16, 1,  24, 498,128,67
20151120-1558,21,16, 2,  23, 299,67,128
20151120-1558,21,17, 1,  17, 515,67,63
20151120-1558,21,17, 2,  15, 314,63,67
20151120-1558,21,18, 1,  41, 556,63,750
20151120-1558,21,18, 2,  36, 350,750,63
20151120-1558,21,19, 1,  10, 566,750,66
20151120-1558,21,19, 2,   9, 359,66,750
20151120-1558,21,20, 1,  15, 581,66,346
20151120-1558,21,20, 2,  14, 373,346,66
20151120-1558,21,21, 1,  20, 601,346,906
20151120-1558,21,21, 2,  19, 392,906,346
20151120-1558,21,22, 1,  13, 614,906,65
20151120-1558,21,22, 2,   7, 399,65,906
20151120-1558,21,23, 1,  26, 640,65,64
20151120-1558,21,23, 2,  21, 420,64,65
20151120-1558,21,24, 1,  32, 672,64,691
20151120-1558,21,24, 2,  18, 438,691,64
20151120-1558,21,25, 1,  47, 719,691,179
20151120-1558,21,25, 2,  35, 473,179,691
20151120-1558,21,26, 1,  43, 762,179,180
20151120-1558,21,26, 2,  42, 515,180,179
20151120-1558,21,27, 1,  26, 788,180,181
20151120-1558,21,27, 2,  21, 536,181,180
20151120-1558,21,28, 1,  26, 814,181,508
20151120-1558,21,28, 2,  25, 561,508,181
20151120-1558,21,29, 1,  37, 851,508,4029
20151120-1558,21,29, 2,  36, 597,4029,508
20151120-1558,21,30, 1,  12, 863,4029,4030
20151120-1558,21,30, 2,  11, 608,4030,4029
20151120-1558,21,31, 1, 159,1022,4030,4039
20151120-1558,21,31, 2, 158, 766,4039,4030
20151120-1558,21,32, 1,  58,1080,4039,4035
20151120-1558,21,32, 2,  58, 824,4035,4039
20151120-1558,21,33, 1,  20,1100,4035,4064
20151120-1558,21,33, 2,  19, 843,4064,4035
20151120-1558,22, 1, 1, 152, 152,142,720
20151120-1558,22, 1, 2, 112, 112,720,142
20151120-1558,22, 2, 1,  96, 248,720,54
20151120-1558,22, 2, 2, 103, 215,54,720
20151120-1558,22, 3, 1,  16, 264,54,46
20151120-1558,22, 3, 2, 137, 352,46,54
20151120-1558,22, 4, 1, 117, 381,46,47
20151120-1558,22, 4, 2,  28, 380,47,46
20151120-1558,22, 5, 1, 255, 636,47,395
20151120-1558,22, 5, 2, 272, 652,395,47
20151120-1558,22, 6, 1, 153, 789,395,679
20151120-1558,22, 6, 2, 155, 807,679,395
20151120-1558,22, 7, 1,  53, 842,679,390
20151120-1558,22, 7, 2,  53, 860,390,679
20151120-1558,23, 1, 1, 159, 159,142,720
20151120-1558,23, 1, 2, 159, 159,720,142
20151120-1558,23, 2, 1, 132, 291,720,47
20151120-1558,23, 2, 2, 105, 264,47,720
20151120-1558,23, 3, 1, 255, 546,47,395
20151120-1558,23, 3, 2, 272, 536,395,47
20151120-1558,23, 4, 1, 141, 687,395,390
20151120-1558,23, 4, 2, 155, 691,390,395
20151120-1558,23, 5, 1, 109, 796,390,679
20151120-1558,23, 5, 2, 112, 803,679,390
20151120-1558,24, 1, 1, 306, 306,142,126
20151120-1558,24, 1, 2,  21,  21,126,142
20151120-1558,24, 2, 1, 161, 467,126,35
20151120-1558,24, 2, 2,  11,  32,35,126
20151120-1558,24, 3, 1,  47, 514,35,48
20151120-1558,24, 3, 2,  26,  58,48,35
20151120-1558,24, 4, 1, 187, 701,48,49
20151120-1558,24, 4, 2,  13,  71,49,48
20151120-1558,24, 5, 1,  10, 711,49,50
20151120-1558,24, 5, 2,  10,  81,50,49
20151120-1558,24, 6, 1,  93, 804,50,272
20151120-1558,24, 6, 2,   6,  87,272,50
20151120-1558,24, 7, 1,   7, 811,272,644
20151120-1558,24, 7, 2,   7,  94,644,272
20151120-1558,24, 8, 1,  81, 892,644,229
20151120-1558,24, 8, 2,   5,  99,229,644
20151120-1558,24, 9, 1,  62, 954,229,232
20151120-1558,24, 9, 2,  13, 112,232,229
20151120-1558,24,10, 1, 151,1105,232,185
20151120-1558,24,10, 2,  11, 123,185,232
20151120-1558,24,11, 1,  40,1145,185,188
20151120-1558,24,11, 2,  15, 138,188,185
20151120-1558,24,12, 1, 101,1246,188,439
20151120-1558,24,12, 2,  18, 156,439,188
20151120-1558,24,13, 1,  33,1279,439,145
20151120-1558,24,13, 2,  19, 175,145,439
20151120-1558,24,14, 1,  71,1350,145,143
20151120-1558,24,14, 2,  10, 185,143,145
20151120-1558,24,15, 1, 200,1550,143,144
20151120-1558,24,15, 2,  14, 199,144,143
20151120-1558,25, 1, 1,  26,  26,586,107
20151120-1558,25, 1, 2,  32,  32,107,586
20151120-1558,26, 1, 1,  75,  75,56,60
20151120-1558,26, 1, 2,  86,  86,60,56
20151120-1558,26, 2, 1,  22,  97,60,58
20151120-1558,26, 2, 2,  69, 155,58,60
20151120-1558,26, 3, 1,  76, 173,58,59
20151120-1558,26, 3, 2, 273, 428,59,58
20151120-1558,26, 4, 1, 101, 274,59,61
20151120-1558,26, 4, 2, 134, 562,61,59
20151120-1558,26, 5, 1, 134, 408,61,55
20151120-1558,26, 5, 2, 140, 702,55,61
20151120-1558,26, 6, 1,  71, 479,55,67
20151120-1558,26, 6, 2, 192, 894,67,55
20151120-1558,26, 7, 1,  63, 542,67,63
20151120-1558,26, 7, 2, 254,1148,63,67
20151120-1558,27, 1, 1,  27,  27,149,148
20151120-1558,27, 1, 2,  58,  58,148,149
20151120-1558,27, 2, 1,  87, 114,148,150
20151120-1558,27, 2, 2,  31,  89,150,148
20151120-1558,27, 3, 1,  42, 156,150,405
20151120-1558,27, 3, 2,  70, 159,405,150
20151120-1558,28, 1, 1,  44,  44,108,73
20151120-1558,28, 1, 2,  46,  46,73,108
20151120-1558,28, 2, 1,  47,  91,73,72
20151120-1558,28, 2, 2,  55, 101,72,73
20151120-1558,28, 3, 1,  26, 117,72,132
20151120-1558,28, 3, 2,  26, 127,132,72
20151120-1558,29, 1, 1, 122, 122,80,64
20151120-1558,29, 1, 2,  36,  36,64,80
20151120-1558,30, 1, 1, 134, 134,462,254
20151120-1558,30, 1, 2, 111, 111,254,462
20151120-1558,30, 2, 1, 590, 724,254,144
20151120-1558,30, 2, 2,  67, 178,144,254
20151120-1558,30, 3, 1, 484,1208,144,868
20151120-1558,30, 3, 2, 706, 884,868,144
