"","LOCATION","FREQUENCY","TIME","Value"
"10549","IRL","M","1974-12",-1.645849542
"10550","IRL","M","1975-01",-4.513144365
"10551","IRL","M","1975-02",-7.606659609
"10552","IRL","M","1975-03",-4.165891039
"10553","IRL","M","1975-04",6.221781098
"10554","IRL","M","1975-05",-2.36610957
"10555","IRL","M","1975-06",22.23445313
"10556","IRL","M","1975-07",-19.00781123
"10557","IRL","M","1975-08",-2.177416068
"10558","IRL","M","1975-09",11.29376671
"10559","IRL","M","1975-10",2.652440694
"10560","IRL","M","1975-11",7.281526377
"10561","IRL","M","1975-12",4.409338847
"10562","IRL","M","1976-01",22.98529785
"10563","IRL","M","1976-02",56.04659908
"10564","IRL","M","1976-03",-69.20360172
"10565","IRL","M","1976-04",65.88431568
"10566","IRL","M","1976-05",3.385629258
"10567","IRL","M","1976-06",6.242768952
"10568","IRL","M","1976-07",-7.570203974
"10569","IRL","M","1976-08",3.176854172
"10570","IRL","M","1976-09",-1.621597265
"10571","IRL","M","1976-10",21.24169535
"10572","IRL","M","1976-11",2.895413617
"10573","IRL","M","1976-12",-0.610500448
"10574","IRL","M","1977-01",0.309953169
"10575","IRL","M","1977-02",2.656388271
"10576","IRL","M","1977-03",0.090346903
"10577","IRL","M","1977-04",3.578991318
"10578","IRL","M","1977-05",-2.984046106
"10579","IRL","M","1977-06",-17.20647987
"10580","IRL","M","1977-07",4.033322906
"10581","IRL","M","1977-08",34.43591902
"10582","IRL","M","1977-09",9.060698235
"10583","IRL","M","1977-10",-6.793298841
"10584","IRL","M","1977-11",3.039700949
"10585","IRL","M","1977-12",0.748825515
"10586","IRL","M","1978-01",4.80797125
"10587","IRL","M","1978-02",-16.87131417
"10588","IRL","M","1978-03",12.55604709
"10589","IRL","M","1978-04",11.4362431
"10590","IRL","M","1978-05",-1.322125923
"10591","IRL","M","1978-06",8.481355401
"10592","IRL","M","1978-07",1.060450217
"10593","IRL","M","1978-08",-5.191015391
"10594","IRL","M","1978-09",4.808746121
"10595","IRL","M","1978-10",-1.356658831
"10596","IRL","M","1978-11",-6.443488149
"10597","IRL","M","1978-12",-4.002750822
"10598","IRL","M","1979-01",-7.084428216
"10599","IRL","M","1979-02",-1.043536906
"10600","IRL","M","1979-03",6.613731113
"10601","IRL","M","1979-04",-8.279706775
"10602","IRL","M","1979-05",12.27941183
"10603","IRL","M","1979-06",-6.358431398
"10604","IRL","M","1979-07",-0.46186684
"10605","IRL","M","1979-08",8.994290994
"10606","IRL","M","1979-09",-10.04178571
"10607","IRL","M","1979-10",-8.450346321
"10608","IRL","M","1979-11",8.314773123
"10609","IRL","M","1979-12",-3.681744821
"10610","IRL","M","1980-01",7.463697222
"10611","IRL","M","1980-02",4.072463037
"10612","IRL","M","1980-03",-1.14878705
"10613","IRL","M","1980-04",-13.81215792
"10614","IRL","M","1980-05",-2.498919719
"10615","IRL","M","1980-06",-3.405578173
"10616","IRL","M","1980-07",2.323345436
"10617","IRL","M","1980-08",6.107459636
"10618","IRL","M","1980-09",6.103386826
"10619","IRL","M","1980-10",1.32715973
"10620","IRL","M","1980-11",4.193918696
"10621","IRL","M","1980-12",4.173222909
"10622","IRL","M","1981-01",-0.281626764
"10623","IRL","M","1981-02",4.857508478
"10624","IRL","M","1981-03",-12.35615203
"10625","IRL","M","1981-04",11.78187052
