,TIME,AUT,AUT2,BEL,BEL2,CZE,CZE2,DEU,DEU2,DNK,DNK2,ESP,ESP2,EST,EST2,EU27,EU272,FRA,FRA2,GBR,GBR2,GRC,GRC2,HUN,HUN2,IRL,IRL2,ITA,ITA2,LTU,LTU2,LUX,LUX2,LVA,LVA2,NLD,NLD2,POL,POL2,PRT,PRT2,SVK,SVK2,SVN,SVN2,SWE,SWE2
126,1957-06,0.035480074,110.6285896,5.809569115,167.1649503,0,100,2.902380645,145.5298383,44.60187762,99.80784613,0,100,0,100,0,100,0,100,0,144.0187647,0,100,0,100,12.81054692,397.3063036,-1.565091852,150.6418518,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
127,1957-07,-3.305407507,106.9718639,-7.383740425,154.8219243,0,100,-9.229935319,132.0975284,-24.95905473,74.89675119,0,100,0,100,0,100,0,100,8.333333333,156.0203284,0,100,0,100,2.675500514,407.9362358,2.132456047,153.8542231,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
128,1957-08,-1.091130226,105.8046615,13.53560303,175.7780053,0,100,17.24982879,154.8841258,12.73170689,84.43238602,0,100,0,100,0,100,0,100,2.555750438,160.0078186,0,100,0,100,26.90964608,517.710433,10.11758096,169.4205486,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
129,1957-09,3.226400619,109.2183438,-10.46190063,157.3882851,0,100,-5.191697662,146.8430103,14.83023381,96.95390628,0,100,0,100,0,100,0,100,2.516491571,164.0344019,0,100,0,100,-8.184829619,475.3367162,-4.649618743,161.5431391,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
130,1957-10,-14.54322738,93.33447171,6.136450827,167.0463398,0,100,4.375313993,153.2678531,-19.73733908,77.81778505,0,100,0,100,0,100,0,100,-4.885605338,156.0203284,0,100,0,100,-2.310918694,464.3520712,18.8089579,191.9277201,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
131,1957-11,31.19914901,122.4540326,0.530446478,167.9324312,0,100,5.932963673,162.3611791,18.22454994,91.99972615,0,100,0,100,0,100,0,100,2.555750438,160.0078186,0,100,0,100,3.623896682,481.1797105,-2.246387041,187.6162807,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
132,1957-12,2.352540068,125.3348128,3.253554322,173.3962041,0,100,1.688870437,165.1032491,29.53908057,119.1755994,0,100,0,100,0,100,0,100,0,160.0078186,0,100,0,100,7.674922031,518.1098781,-11.88745128,165.3134867,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
133,1958-01,-2.284545507,122.471482,8.464840102,188.0739155,0,100,3.848803879,171.4577493,-24.08108693,90.4768197,0,100,0,100,0,100,0,100,15.0012216,184.0109461,0,100,0,100,-10.39825827,464.2354748,21.17569627,200.3197685,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
134,1958-02,2.335886653,125.332277,-10.29730354,168.7073736,0,100,-5.470285863,162.0785203,0.845324217,91.24164216,0,100,0,100,0,100,-14.73136915,85.26863085,0,184.0109461,0,100,0,100,5.221299646,488.4746,-1.256132107,197.8034876,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
135,1958-03,-5.832704944,118.0220151,-9.208480454,153.1719881,0,100,1.333217133,164.2393789,-11.12097734,81.09467982,0,100,0,100,0,100,-12.80487805,74.35008666,2.188230295,188.0375293,0,100,0,100,-0.146457986,487.75919,-10.9941443,176.0566867,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
136,1958-04,0.373761667,118.4631361,7.105592234,164.0557649,0,100,0.652181049,165.310517,-8.66395265,74.06867516,0,100,0,100,0,100,1.398601399,75.38994801,-4.261954262,180.0234558,0,100,0,100,-5.365761946,461.587193,1.099424477,177.9922971,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
137,1958-05,10.88754026,131.3608577,0.845922215,165.4435491,0,100,13.36968284,187.4120088,3.23136258,76.46210261,0,100,0,100,0,100,12.87356322,85.09532062,0,180.0234558,0,100,0,100,3.289689687,476.7719792,2.099972527,181.7300864,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
138,1958-06,-4.016298789,126.0850132,-7.167307876,153.5857006,0,100,-6.325936172,175.5564448,8.773479978,83.17048987,0,100,0,100,0,100,-3.869653768,81.80242634,-11.11834962,160.0078186,0,100,0,100,-0.459823803,474.5796682,-5.469246665,171.7908197,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
139,1958-07,7.197688943,135.1602203,6.581463746,163.6938878,0,100,5.85617846,185.8373435,-7.899542166,76.60040196,0,100,0,100,0,100,24.15254237,101.559792,12.50916198,180.0234558,0,100,0,100,9.735249465,520.7811828,0.12865283,172.0118335,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
140,1958-08,6.18673566,143.5222258,4.338371571,170.7955369,0,100,3.52622399,192.3903845,36.87329586,104.8454948,0,100,0,100,0,100,-6.484641638,94.97400347,-2.214983713,176.0359656,0,100,0,100,-13.70905819,449.3869874,-9.551523895,155.5820821,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
141,1958-09,-5.750394324,135.2691319,1.038930807,172.5699843,0,100,-3.040101363,186.5415218,-13.86828969,90.30521786,0,100,0,100,0,100,-21.71532847,74.35008666,4.530313125,184.0109461,0,100,0,100,12.52863835,505.6890579,5.715279824,164.4740334,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
142,1958-10,-5.211603865,128.2194406,-5.725882479,162.6888298,0,100,1.510874637,189.3599303,10.54692807,99.82964423,0,100,0,100,0,100,21.21212121,90.12131716,2.188230295,188.0375293,0,100,0,100,1.316501096,512.3464598,-10.7252372,146.8338032,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
143,1958-11,-16.56563608,106.9790747,-6.163384303,152.661692,0,100,-1.230051923,187.0307049,23.65187526,123.4412272,0,100,0,100,0,100,-5.576923077,85.09532062,10.62370062,208.0140735,0,100,0,100,-0.433609801,510.1248754,6.796000631,156.8126294,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
144,1958-12,15.78371352,123.8643453,4.747069538,159.9086487,0,100,0.905434517,188.7241454,-2.407350671,120.4695639,0,100,0,100,0,100,4.073319756,88.56152513,1.916932907,212.0015637,0,100,0,100,-5.678899574,481.155396,3.982162915,163.0571638,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
145,1959-01,4.837009246,129.8556752,20.73831683,193.0710109,0,100,0.957921208,190.531974,2.462605546,123.4362541,0,100,0,100,0,100,19.76516634,106.0658579,-7.54195095,196.0125098,0,100,0,100,15.0451131,553.5457695,21.33183887,197.8402552,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
146,1959-02,-3.584369807,125.2011676,-16.71110164,160.806718,0,100,7.492545782,204.8076694,7.766154259,133.022504,0,100,0,100,0,100,-4.738562092,101.0398614,-6.122856003,184.0109461,0,100,0,100,-2.085294873,542.002708,-3.652432302,190.6142738,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
147,1959-03,4.621257372,130.9870357,8.381736793,174.2851139,0,100,7.187062126,219.5273239,-23.21254733,102.1445923,0,100,0,100,0,100,-20.58319039,80.24263432,-2.166985341,180.0234558,0,100,0,100,-21.35282343,426.2698267,-19.75901915,152.950763,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
148,1959-04,1.998965532,133.6054214,0.375775298,174.9400343,0,100,-4.038044599,210.6627126,37.75049208,140.7046786,0,100,0,100,0,100,-8.423326134,73.48353553,22.21498371,220.0156372,0,100,0,100,32.24791022,563.7329377,35.80699045,207.717828,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
